WO,FASE,ARTICOLO,Descrizione Articolo,ID DAD,C.d.L. Prev,Descrizione Centro di Lavoro previsto,C.d.L. Effett,Cod CIC,Descrizione Macchina,Scarti Materiale,Scarti Lavoraz.,Pezzi Ripassati,Pezzi da Avanzare,Pezzi Mancanti,Tot pezzi Contegg.,Qta totale su AS/400,Qta opera su AS/400,Tempo Attrezz. ORE,Tempo Lavoraz. ORE,Durata Soste Ore,Buon Tempo Ciclo ORE,Tempo Macc AS400 ORE,Tempo Attr AS400 ORE,Data_Ora_Fine,Tempo_Teorico_TOT_ORE,Indice_Inefficienza
24028435,16019,1202602141.0,PC S45 C14,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,89.0,0,89.0,91.0,0.0,0.54,1.87,0.0,0.021,3.03,1.5,2025-01-07 11:28:44,1.869,1.0005350454788655
24026957,14019,1089930901.0,PS EX50 Z15 IR6.2 PAM,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,12.0,0,12.0,12.0,0.0,0.69,0.55,0.11,0.037,0.45,1.0,2025-01-07 15:09:21,0.444,1.2387387387387387
24023555,24044,1089956421.0,PS EX20 Z25 IR3.48 *28 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,31.0,0,31.0,30.0,0.0,0.57,4.22,1.9,0.0738333333333333,2.48,1.02,2025-01-08 16:06:31,2.2888333333333333,1.8437340712153207
24025600,24044,1083000951.0,ALBERO MOTORE C19 GR80 A12B AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,100.0,2,100.0,200.0,0.0,0.58,3.24,0.56,0.0266666666666666,1.67,1.0,2025-01-08 23:43:03,2.666666666666667,1.215
24026907,20044,1089930561.0,PS EX10 Z19 IR4.26,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,1,0,231.0,0,232.0,230.0,0.0,2.4,7.79,0.93,0.0295,8.82,1.02,2025-01-09 20:55:13,6.844,1.1382232612507306
24028423,14019,1203002111.0,PC A35 A11,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,183.0,0,183.0,231.0,0.0,0.0,0.91,0.29,0.0033333333333333,1.54,1.02,2025-01-14 10:26:23,0.61,1.4918032786885247
24026787,14019,1204120101.0,PC A40-50/O-P63/P71 A10,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,69.0,0,69.0,111.0,0.0,0.0,0.33,0.1,0.0033333333333333,0.84,1.01,2025-01-14 11:41:27,0.23,1.434782608695652
24028400,14017,1204120131.0,PC A40-50/O-P63/P71 A12A,43,641.0,Prod.Dir.Dentatura Ingranaggi,643.0,43,43: KOEPFER 160/2,0,0,0,152.0,0,152.0,151.0,0.0,0.0,0.72,0.04,0.0043333333333333,2.27,1.01,2025-01-14 14:31:07,0.6586666666666666,1.0931174089068827
24027378,16019,1207300091.0,PC P90 C09,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,98.0,0,98.0,100.0,0.0,0.0,1.21,0.53,0.0068333333333333,3.75,1.02,2025-01-14 17:55:48,0.6696666666666666,1.8068690890990544
24021481,16017,1089991631.0,PC LM A13 ASA,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,201.0,0,201.0,200.0,0.0,0.33,1.77,0.77,0.0048333333333333,2.2,1.02,2025-01-14 20:38:09,0.9715,1.8219248584662893
22032785,14019,1204480141.0,PC A80-100/O-P112/P132 A14,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,200.0,0,200.0,200.0,0.0,0.65,1.94,0.0,0.0096666666666666,2.4,1.0,2025-01-15 00:06:41,1.933333333333333,1.003448275862069
24020218,24044,1089990331.0,PC GM3000 A13 *15X30 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,775.0,0,775.0,351.0,0.0,2.23,34.82,4.54,0.039,7.9,1.02,2025-01-20 18:09:51,30.225,1.1520264681555004
24024798,22044,1204240131.0,PC A50-60/O-P71/P90 A12A,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,299.0,2,299.0,301.0,0.0,1.12,5.74,0.28,0.0181666666666666,2.56,1.02,2025-01-21 08:06:57,5.4318333333333335,1.056733454021049
24026244,20044,1203002121.0,PC A35 A12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,189.0,0,189.0,200.0,0.0,0.42,4.84,0.01,0.0255,1.5,1.02,2025-01-21 17:03:58,4.819500000000001,1.004253553273161
24025246,22044,1204000141.0,PC A40 A14 3C,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,398.0,0,398.0,400.0,0.0,2.19,9.23,0.58,0.0216666666666666,3.33,1.02,2025-01-22 13:26:10,8.623333333333333,1.07035175879397
24025802,20044,1203002111.0,PC A35 A11,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,118.0,0,118.0,120.0,0.0,0.02,3.22,0.49,0.023,0.86,1.02,2025-01-23 11:03:20,2.714,1.186440677966102
24024694,22044,1204120171.0,PC A40-50/O-P63/P71 A17,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,144.0,4,144.0,150.0,0.0,0.02,6.0,2.68,0.0228333333333333,1.75,1.01,2025-01-23 17:18:01,3.2880000000000003,1.824817518248175
24030305,14019,1200400111.0,PC A32 A11,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,251.0,0,251.0,250.0,0.0,0.81,1.49,0.33,0.0045,2.09,1.02,2025-01-23 20:24:47,1.1295000000000002,1.31916777335104
24028374,14019,1200400191.0,PC 80 AP19,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,99.0,0,99.0,100.0,0.0,0.21,0.61,0.15,0.0046666666666666,0.78,1.02,2025-01-23 22:14:55,0.462,1.3203463203463202
24028389,14017,1201300171.0,PC 112 AP17,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,97.0,0,97.0,101.0,0.0,0.33,0.57,0.0,0.0058333333333333,0.0,0.0,2025-01-24 00:22:34,0.5658333333333333,1.0073637702503682
24026905,20044,1201600151.0,PC 132 AP15,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,101.0,0,101.0,101.0,0.0,0.14,3.51,0.08,0.0338333333333333,1.57,1.02,2025-01-27 09:53:27,3.4171666666666667,1.0271667560844753
24025967,18017,1201901001.0,PC ID250 USCITA Z=12 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,680.0,0,680.0,860.0,0.0,0.0,4.72,1.82,0.0041666666666666,12.19,1.02,2025-01-27 16:37:19,2.833333333333333,1.6658823529411764
24028369,22044,1200100131.0,PC 63AP12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,53.0,0,53.0,51.0,0.0,0.04,1.69,0.89,0.0146666666666666,1.15,1.02,2025-01-27 19:19:37,0.7773333333333333,2.17409948542024
24026243,20044,1203004091.0,PC A35 C09,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,502.0,0,502.0,500.0,0.0,1.48,12.36,1.23,0.022,4.83,1.02,2025-01-28 15:12:52,11.044,1.119159724737414
24026906,22044,1203063091.0,PC A41 C9,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,96.0,0,96.0,101.0,0.0,0.02,2.36,0.21,0.0223333333333333,0.0,0.0,2025-01-28 17:45:28,2.144,1.1007462686567162
24028450,20044,1089930521.0,PS EX20 Z19 IR4.26,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,295.0,2,295.0,300.0,0.0,2.55,16.32,0.77,0.0526666666666666,6.5,1.01,2025-01-30 00:15:34,15.536666666666669,1.0504183651576915
25000581,16019,1207300091.0,PC P90 C09,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,247.0,0,247.0,200.0,0.0,0.0,3.53,0.92,0.0105,7.5,1.02,2025-02-03 08:35:24,2.5935,1.3610950453055717
24027887,22044,1200700211.0,PC 90 AP21,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,151.0,0,151.0,150.0,0.0,0.48,4.93,0.0,0.0326666666666666,1.88,1.02,2025-02-03 15:33:29,4.932666666666666,0.999459386403568
24028400,22044,1204120131.0,PC A40-50/O-P63/P71 A12A,43,642.0,Prod.Dir.Rettifica Prof.Ingr.,643.0,43,43: KOEPFER 160/2,0,0,0,148.0,4,148.0,151.0,0.0,1.16,3.62,0.15,0.0233333333333333,3.78,1.02,2025-02-03 20:52:28,3.453333333333333,1.0482625482625485
24025428,22044,1204240121.0,PC A50-60/O-P71/P90 A12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,496.0,1,496.0,500.0,0.0,0.88,11.01,0.1,0.022,5.17,1.02,2025-02-04 16:48:56,10.912,1.008980938416422
24026787,22044,1204120101.0,PC A40-50/O-P63/P71 A10,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,108.0,3,108.0,111.0,0.0,1.47,5.06,0.71,0.04,0.87,1.01,2025-02-05 18:10:04,4.32,1.171296296296296
24027815,20044,1203002101.0,PC A35 A10,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,246.0,0,246.0,250.0,0.0,2.21,8.92,0.51,0.034,1.67,1.02,2025-02-06 13:27:39,8.364,1.0664753706360592
24028423,20044,1203002111.0,PC A35 A11,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,231.0,10,231.0,231.0,0.0,0.7,5.78,0.5,0.0228333333333333,1.66,1.02,2025-02-06 22:44:10,5.2745,1.095838468101242
24026957,22044,1089930901.0,PS EX50 Z15 IR6.2 PAM,43,642.0,Prod.Dir.Rettifica Prof.Ingr.,643.0,43,43: KOEPFER 160/2,0,0,0,19.0,0,19.0,12.0,0.0,3.57,1.46,0.28,0.068,0.58,1.01,2025-02-10 14:03:02,1.292,1.130030959752322
24013570,22044,1089930411.0,PS EX20 Z19 IR4.26 PAM,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,1,0,0,24.0,0,25.0,25.0,0.0,1.13,3.05,0.37,0.1063333333333333,1.13,1.51,2025-02-10 18:22:26,2.658333333333333,1.1473354231974922
24026909,22044,1089930841.0,PS EX30 Z12 IR7.5 PAM,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,1,0,24.0,0,25.0,20.0,0.0,0.14,4.06,2.01,0.0935,0.67,1.01,2025-02-10 22:59:02,2.3375,1.736898395721925
22032785,22044,1204480141.0,PC A80-100/O-P112/P132 A14,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,200.0,0,200.0,200.0,0.0,0.61,9.85,0.97,0.0443333333333333,2.78,1.02,2025-02-11 20:26:12,8.866666666666667,1.1109022556390975
24031317,16019,1089945001.0,PS EX20 Z19 IR4.26 *28 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,3.0,0,3.0,5.0,0.0,0.07,0.11,0.01,0.036,0.08,1.02,2025-02-12 09:30:09,0.108,1.0185185185185184
24026487,26044,1202602101.0,PC S45 C10,43,642.0,Prod.Dir.Rettifica Prof.Ingr.,643.0,43,43: KOEPFER 160/2,0,18,0,91.0,0,109.0,100.0,0.0,4.04,8.38,3.31,0.0461666666666666,0.0,0.0,2025-02-12 22:16:02,5.032166666666667,1.665286655847382
24028903,18044,1089993271.0,ALBEROUSCITA LM50 *19X30 Z15AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,480.0,0,480.0,1.4,0.0,0.73,5.0,0.23,0.0098333333333333,12.13,1.02,2025-02-13 19:18:09,4.72,1.0593220338983051
24029291,14019,1203004091.0,PC A35 C09,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,493.0,0,493.0,500.0,0.0,0.15,2.69,0.32,0.0046666666666666,3.17,1.02,2025-02-14 00:18:22,2.300666666666667,1.1692263112141408
24030753,16019,1089935091.0,PSEX10Z13IR5.77XRMI5063*25*OBS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,182.0,0,182.0,180.0,0.0,0.36,1.82,0.54,0.007,7.53,1.01,2025-02-14 14:18:12,1.274,1.4285714285714286
25001179,14019,1204240131.0,PC A50-60/O-P71/P90 A12A,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,261.0,0,261.0,300.0,0.0,0.0,1.12,0.24,0.0033333333333333,2.15,1.02,2025-02-17 09:26:09,0.8700000000000001,1.2873563218390804
24030346,16019,1203072101.0,PC A45 C10,43,641.0,Prod.Dir.Dentatura Ingranaggi,643.0,43,43: KOEPFER 160/2,0,0,0,100.0,0,100.0,100.0,0.0,0.29,1.16,0.0,0.0115,2.0,1.02,2025-02-17 13:02:48,1.15,1.008695652173913
24030347,16019,1203072091.0,PC A45 C09,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,280.0,0,280.0,281.0,0.0,0.64,2.96,0.0,0.0105,2.25,1.02,2025-02-17 17:43:54,2.9400000000000004,1.0068027210884352
25001446,16019,1207300181.0,PC P90 C18,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,82.0,0,82.0,80.0,0.0,0.49,1.18,0.21,0.0118333333333333,2.27,1.01,2025-02-17 20:56:01,0.9703333333333332,1.2160769495018895
24030089,16017,1207000161.0,PC P71 B16,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,43.0,0,43.0,80.0,0.0,0.01,0.41,0.09,0.0071666666666666,0.67,1.02,2025-02-18 11:08:14,0.3081666666666666,1.3304488912925907
24029133,16017,1207900231.0,PC P63 C23,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,93.0,0,93.0,95.0,0.0,0.35,2.5,0.34,0.0231666666666666,1.68,1.0,2025-02-18 16:06:34,2.1545,1.1603620329542816
24029545,16019,1202610121.0,PC S35 C12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,299.0,0,299.0,300.0,0.0,0.24,2.25,0.24,0.0066666666666666,16.66,1.02,2025-02-18 20:29:42,1.9933333333333332,1.12876254180602
24029956,18017,1089911031.0,ALB PIG RX 708 P3 A24,43,641.0,Prod.Dir.Dentatura Ingranaggi,643.0,43,43: KOEPFER 160/2,0,0,0,47.0,0,47.0,50.0,0.0,0.49,0.46,0.06,0.0083333333333333,1.67,1.0,2025-02-19 09:26:32,0.3916666666666666,1.1744680851063831
24030674,16017,1205440181.0,PC O71 C18,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,45.0,0,45.0,50.0,0.0,0.23,0.26,0.01,0.0053333333333333,1.75,1.01,2025-02-19 10:03:46,0.24,1.0833333333333337
24029231,14019,1204600161.0,PC A100 A16,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,20.0,0,20.0,20.0,0.0,0.32,0.21,0.02,0.0091666666666666,0.38,1.01,2025-02-19 11:00:44,0.1833333333333333,1.1454545454545453
24030336,16017,1204760121.0,PC A120 B12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,17.0,0,17.0,21.0,0.0,0.41,0.4,0.0,0.0238333333333333,1.45,1.01,2025-02-19 11:49:11,0.4051666666666666,0.9872480460715756
24026956,22044,1089930891.0,PS EX50 Z12 IR7.5 PAM,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,24.0,0,24.0,15.0,0.0,0.03,2.06,1.11,0.0446666666666666,0.72,1.01,2025-02-20 11:24:19,1.072,1.921641791044776
24031053,22044,1204520181.0,PC A80 B18,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,115.0,0,115.0,101.0,0.0,2.21,14.38,3.1,0.0978333333333333,1.77,1.02,2025-02-21 13:30:01,11.250833333333334,1.2781275461076955
24030335,22044,1204480181.0,PC A80-100/O-P112/P132 A18,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,403.0,2,403.0,100.0,0.0,1.44,10.74,4.79,0.0146666666666666,5.53,1.02,2025-02-24 19:41:25,5.910666666666667,1.8170539138281077
25001030,20044,1089930661.0,PS EX30 Z30 IR3.6,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,209.0,0,209.0,150.0,0.0,2.69,24.57,3.51,0.1006666666666666,5.37,1.51,2025-02-26 16:48:08,21.03933333333333,1.1678126683354986
24023366,16017,1089990331.0,PC GM3000 A13 *15X30 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,1,0,0,700.0,1,701.0,700.0,0.0,0.52,2.87,0.32,0.0035,16.8,1.02,2025-02-26 22:34:04,2.4535,1.1697574893009983
24029531,14017,1200400151.0,PC 80 AP15,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,689.0,0,689.0,691.0,0.0,0.16,2.91,0.0,0.0041666666666666,4.25,1.02,2025-03-04 13:13:22,2.870833333333333,1.0136429608127722
25003686,14019,1203002121.0,PC A35 A12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,201.0,0,201.0,200.0,0.0,0.02,0.96,0.16,0.0038333333333333,1.17,1.02,2025-03-04 15:21:02,0.7705000000000001,1.2459441920830627
24031314,14019,1203070111.0,PC A45 A11 3C,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,59.0,0,59.0,60.0,0.0,0.0,0.22,0.0,0.0036666666666666,0.7,1.02,2025-03-04 16:30:49,0.2163333333333333,1.0169491525423728
25001468,14019,1204120111.0,PC A40-50/O-P63/P71 A10A,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,27.0,0,27.0,40.0,0.0,0.11,0.13,0.0,0.0048333333333333,0.23,1.02,2025-03-05 08:51:34,0.1304999999999999,0.9961685823754792
24030336,24044,1204760121.0,PC A120 B12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,21.0,0,21.0,21.0,0.0,1.02,1.07,0.0,0.0511666666666666,1.05,1.01,2025-03-05 11:16:24,1.0745,0.9958120055839926
24030059,24044,1205080091.0,PC A55 C9,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,40.0,0,40.0,28.0,0.0,2.01,3.64,0.91,0.0676666666666666,0.47,1.01,2025-03-05 20:38:27,2.7066666666666666,1.3448275862068966
24029714,16019,1089930531.0,PS EX20 Z25 IR3.48,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,312.0,0,312.0,320.0,0.0,0.01,4.57,1.23,0.0106666666666666,5.39,1.01,2025-03-06 17:25:43,3.328,1.3731971153846156
24031335,14019,1089930571.0,PS EX10 Z25 IR3.48,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,210.0,0,210.0,200.0,0.0,0.71,1.87,0.98,0.0041666666666666,0.0,0.0,2025-03-06 20:47:34,0.875,2.137142857142857
24030086,22044,1204160121.0,PC A40 B12,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,53.0,0,53.0,50.0,0.0,1.25,1.51,0.0,0.0285,0.48,1.02,2025-03-07 11:38:30,1.5105,0.9996689837802052
25001185,16019,1089952451.0,PS EX20 Z11 IR6.64 *25 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,38.0,0,38.0,42.0,0.0,0.9,1.49,0.21,0.0333333333333333,0.78,1.01,2025-03-11 17:34:36,1.2666666666666666,1.1763157894736842
25001186,16019,1089952491.0,PS EX20 Z13 IR5.77 *25 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,34.0,0,34.0,42.0,0.0,0.72,1.17,0.62,0.0156666666666666,0.85,1.01,2025-03-11 19:43:46,0.5326666666666666,2.1964956195244056
24030145,16017,1089996461.0,PC IM60 A14 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,814.0,0,814.0,824.0,0.0,0.29,8.82,1.92,0.0083333333333333,11.68,1.02,2025-03-12 14:24:10,6.783333333333333,1.3002457002457004
25005005,16017,1089996461.0,PC IM60 A14 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,107.0,0,107.0,104.0,0.0,0.02,0.87,0.0,0.008,1.48,1.02,2025-03-13 08:36:24,0.856,1.016355140186916
24028373,26044,1200300101.0,PC 63CP10,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,2,0,153.0,1,155.0,150.0,0.0,1.13,7.34,2.97,0.028,0.95,1.02,2025-03-13 17:14:03,4.34,1.6912442396313363
24028438,26044,1202606161.0,PC S25 C16,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,33.0,0,33.0,31.0,0.0,2.22,1.95,0.06,0.0573333333333333,0.52,1.01,2025-03-14 00:18:04,1.892,1.0306553911205074
24022823,24044,1089990351.0,PC GM3000 B21 AS,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,400.0,1,400.0,400.0,0.0,1.25,61.11,7.02,0.1351666666666666,20.0,1.52,2025-03-19 23:21:12,54.06666666666666,1.1302712700369917
24025319,24044,1204320106.0,PC A50 C10 N,43,643.0,Prod.Dir.Dentatura/Skiving,643.0,43,43: KOEPFER 160/2,0,0,0,301.0,3,301.0,300.0,0.0,1.45,13.44,2.57,0.036,5.75,1.01,2025-03-21 00:08:58,10.836000000000002,1.2403100775193796
